#MaxThreads,#UE,AvUE/Thread,Execution Time,Registration Throughput(registrations/sec),Registration Latency (in sec),Setup Tunnel (Yes/No),DO Detach (Yes/No),Sending Data? (Yes/ No),Mean Data Sending Time,Sending Rate
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,13479,13479,60,224.650000,0.004368,Yes,Yes,No,0.010000,1M
1,54,54,60,0.900000,0.015696,Yes,Yes,No,0.010000,1M
1,369,369,60,6.150000,0.007736,Yes,Yes,No,0.010000,1M
1,0,0,60,0.000000,-nan,Yes,No,No,0.010000,1M
1,15630,15630,60,260.500000,0.003781,No,No,No,0.010000,1M
1,15391,15391,60,256.516667,0.003850,No,No,No,0.010000,1M
1,16003,16003,60,266.716667,0.003721,No,No,No,0.010000,1M
1,13199,13199,60,219.983333,0.004528,Yes,Yes,No,0.010000,1M
1,13563,13563,60,226.050000,0.004402,Yes,Yes,No,0.010000,1M
1,7331,7331,30,244.366667,0.003969,Yes,Yes,No,0.010000,1M
1,6708,6708,30,223.600000,0.004337,Yes,Yes,No,0.010000,1M
1,7131,7131,30,237.700000,0.004069,Yes,Yes,No,0.010000,1M
1,7239,7239,30,241.300000,0.004056,Yes,Yes,No,0.010000,1M
1,0,0,30,0.000000,-nan,Yes,Yes,No,0.010000,1M
1,7299,7299,30,243.300000,0.004094,Yes,Yes,No,0.010000,1M
1,935,935,6,155.833333,0.005791,Yes,Yes,No,0.010000,1M
1,896,896,6,149.333333,0.005794,Yes,Yes,No,0.010000,1M
1,1154,1154,6,192.333333,0.005074,No,No,No,0.010000,1M
